Name,Description,Database Query,Tracked?,dunga-dunga,Comment on tracking of data,Comment on implementation
Mummified,Most deaths on L1,,TRUE,FALSE,"Easier if we track movement between regions in count of locate_player, but coordinates are stored on death",
Caved in,Most deaths on L2,,TRUE,FALSE,"Easier if we track movement between regions in count of locate_player, but coordinates are stored on death",
"""Fly, You Fools!""",Most deaths on L3,,TRUE,FALSE,"Easier if we track movement between regions in count of locate_player, but coordinates are stored on death",
Tryharder,Most deaths on L4,,TRUE,FALSE,"Easier if we track movement between regions in count of locate_player, but coordinates are stored on death",
,,,,,,
Cards and Deck,,,,,,
Card collector,Most cards owned,,TRUE,FALSE,,
Collecting 'Em all,Most unique cards owned,,TRUE,FALSE,,
Variety Pack,Most unique cards in active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",Limit of 27.
Thorougly complete,Most unique cards at or above the limit,,TRUE,FALSE,,
Ember Extravagence,Most expensive active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
Sumptuous Sidelines,Most expensive set of inactive cards,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",Include or exclude cards above their limit?
Overpowered,Most expensive successful deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",Too close to Ember Extravagence?
Penny Pincher: Caves,"Cheapest Deck, L2 success",,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
Penny Pincher: Mines,"Cheapest Deck, L3 success",,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
"Penny Pincher, Dark","Cheapest Deck, L4 success",,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
"""It's how you use it"": Caves","Smallest Deck, L2 success",,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
"""It's how you use it"": Mines","Smallest Deck, L3 success",,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
"""It's how you use it"": Dark","Smallest Deck, L4 success",,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
Retail Therapy,Most cards bought in a single run,,TRUE,FALSE,,Exclude Pirate's Booty cards
Bulk buyer,Most cards bought per win on average,,TRUE,FALSE,,Exclude Pirate's Booty cards. Exclude crown shop purchases as well?
Window shopper,Least cards bought per win on average,,TRUE,FALSE,,Exclude Pirate's Booty cards. Exclude crown shop purchases as well?
High roller,Costliest single card purchase,,TRUE,FALSE,,Change this to alternative listed below?
Alternative High roller,Most embers spent on cards in a single run,,TRUE,FALSE,,
Ethereal Extraordinaire,Most ethereal cards bought,,TRUE,FALSE,,Exclude Pirate's Booty cards
Clear as day,Most MoC's played and consumed,,TRUE,FALSE,,
Planned In Advance,Most TAA's played and consumed,,TRUE,FALSE,,
Porkchop Powered,Most PCP's played and consumed,,TRUE,FALSE,,
Premium member bonus,Most PtW's played and consumed,,TRUE,FALSE,,
The true ninja,Most CB in active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",General issue with cards that give variable amouts of treasure/embers/blocks/beacon effects
Keeping your options open,Most HB in active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
"""Greed is good""",Most Treasure in active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run","Issue with cards that give variable treasure amounts, like Adrenaline Rush"
Frosted Tips,Most Ember drops in active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
"Get the ""Zoomies""",Most Speed boost in active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
Infinity Mending,Most Regen in active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
"""Fool of a Took!""",Most clank generated by active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run","Possible alternative, count what the decks gave durint the latest run (but that only works if the decks are emptied during the run)"
Harrowing Hazards,Most hazards triggered by active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
tripping,Most additional stumbles made by active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
Going Green,Most cards recycled by active deck,,FALSE,FALSE,"Only track cards on entrance to instance and cards played, not cards used in run",
,,,,,,
Potential Unimplemented,,,,,,
In the steps of the titan / Learned from the dungeon master,Most deaths to berry bushes,,TRUE,FALSE,,
,,,,,,
Group 2,,,,,,
Crowns,,,,,,
Tunnel vision,Most wins without any crowns or floor embers,,TRUE,FALSE,,
Sticky Fingers,Fewest wins without any crowns or floor embers,,TRUE,FALSE,,
Crowning Achievement,Most crowns in a successful run,,TRUE,FALSE,,
Reigning Monarch,Most lifetime crowns,,TRUE,FALSE,,
,,,,,,
Phase End,,,,,,
Feed the Need (2),Most store bought shards,,?,,,
Shard Farmer,Most given shards at phase start,,?,,,
The infinity Shard,Most dungeon runs per distributed shard,,?,,,
Maximum Efficiency,Fewest tomes submitted for most overall tomes,,?,,,
Minimum Efficiency,Most tomes submitted for fewest overall tomes,,?,,,
Rising Star,Greatest rise in points earned in a phase compared to the previous one,,?,,,
Falling Star,Greatest fall in points earned in a phase compared to the previous one,,?,,,
,,,,,,
Misc,,,,,,
First in Line,Be the first to do a run in the competition,,TRUE,FALSE,,
"Dungeon, You feeling old yet?",Do the 1000th run,,TRUE,FALSE,,"Would we need 2000th, 3000th and so on as well? Difficult to make this dynamic"
Is it over?,Last person to do a competitive run,,TRUE,FALSE,,
Bug magnet,Most refunded shards,,?,,,
Swarm of bugs,Most consecutive runs,,TRUE,FALSE,,I'm not sure that these make sense for a dungeon where there are multiple instances. Maybe could be reworked though
Taking turns,Longest streak of non-consecutive runs without a 2+ run gap,,TRUE,FALSE,,
Waiting room Camper,Longest streak of dungeon runs without a 100+ run gap,,TRUE,FALSE,,
One at a time,"Longest streak of dungeon runs, none within 10 runs of the next, without a 100+ run gap",,TRUE,FALSE,,
Polarizing Pizza Master,Most controversial taste in pizza,,TRUE,FALSE,Keralis winner,
